match_no,team_A,team_B,team_A_ranking,team_B_ranking,total_team_ranking,match_ranking,match_details_date,SGP_time
6,Brazil,Morocco,6,7,13,1,"Sunday, 14 June 2026",  6:00:00 am
22,England,Croatia,4,11,15,2,"Thursday, 18 June 2026",  4:00:00 am
17,France,Senegal,3,15,18,3,"Wednesday, 17 June 2026",  3:00:00 am
64,Uruguay,Spain,16,2,18,3,"Saturday, 27 June 2026",  8:00:00 am
69,Colombia,Portugal,13,5,18,3,"Sunday, 28 June 2026",  7:30:00 am
41,Argentina,Austria,1,24,25,6,"Tuesday, 23 June 2026",  1:00:00 am
10,Netherlands,Japan,8,18,26,7,"Monday, 15 June 2026",  4:00:00 am
19,Argentina,Algeria,1,28,29,8,"Wednesday, 17 June 2026",  9:00:00 am
38,Belgium,Iran,9,20,29,8,"Monday, 22 June 2026",  3:00:00 am
56,Ecuador,Germany,23,10,33,10,"Friday, 26 June 2026",  4:00:00 am
61,Norway,France,31,3,34,11,"Saturday, 27 June 2026",  3:00:00 am
14,Belgium,Egypt,9,29,38,12,"Tuesday, 16 June 2026",  3:00:00 am
67,Panama,England,34,4,38,12,"Sunday, 28 June 2026",  5:00:00 am
28,Mexico,South Korea,14,25,39,14,"Friday, 19 June 2026",  9:00:00 am
59,Turkiye,USA,22,17,39,14,"Friday, 26 June 2026", 10:00:00 am
34,Germany,Ivory Coast,10,33,43,16,"Sunday, 21 June 2026",  4:00:00 am
29,USA,Australia,17,27,44,17,"Saturday, 20 June 2026",  3:00:00 am
47,Panama,Croatia,34,11,45,18,"Wednesday, 24 June 2026",  7:00:00 am
33,Netherlands,Sweden,8,38,46,19,"Sunday, 21 June 2026",  1:00:00 am
43,Norway,Senegal,31,15,46,19,"Tuesday, 23 June 2026",  8:00:00 am
51,Scotland,Brazil,42,6,48,21,"Thursday, 25 June 2026",  6:00:00 am
8,Australia,Turkiye,27,22,49,22,"Sunday, 14 June 2026", 12:00:00 pm
30,Scotland,Morocco,42,7,49,22,"Saturday, 20 June 2026",  6:00:00 am
49,Switzerland,Canada,19,30,49,22,"Thursday, 25 June 2026",  3:00:00 am
65,Egypt,Iran,29,20,49,22,"Saturday, 27 June 2026", 11:00:00 am
21,Portugal,Congo DR,5,46,51,26,"Thursday, 18 June 2026",  1:00:00 am
71,Algeria,Austria,28,24,52,27,"Sunday, 28 June 2026", 10:00:00 am
